0	12281	1
0	26627	1
0	28403	1
0	33773	1
0	41758	1
0	41847	1
0	42314	1
0	58823	1
0	61464	1
0	73022	1
0	87948	1
1	10939	3
1	10980	1
1	11047	1
1	11055	4
1	11064	3
1	11078	1
1	11125	1
1	11139	22
1	11464	3
1	11667	1
1	11683	3
1	11748	1
1	12433	1
1	12450	1
1	13428	1
1	13523	2
1	13595	1
1	13817	1
1	13887	1
1	14793	12
1	16133	3
1	16135	3
1	16228	1
1	17118	1
1	17509	1
1	20903	1
1	22134	2
1	23059	1
1	26807	1
1	28824	1
1	40470	1
1	45538	1
1	50586	1
1	58928	1
1	60996	1
1	65751	6
1	66901	1
1	67584	1
1	79107	3
1	86567	1
2	8680	1
2	24178	1
2	27236	2
2	29091	1
2	29871	2
2	30115	1
2	30847	7
2	30956	1
2	32306	1
2	33091	3
2	34110	4
2	34727	2
2	36319	3
2	37007	1
2	39154	1
2	40039	1
2	41360	1
2	44014	1
2	45031	1
2	60639	1
2	62269	1
2	66411	4
2	71882	1
2	74082	2
2	76294	1
2	81970	2
2	86659	1
2	88311	5
3	10980	1
3	11055	9
3	11064	5
3	11078	1
3	11125	1
3	11139	52
3	11163	1
3	11421	1
3	11443	6
3	11464	6
3	11506	3
3	11520	1
3	11748	1
3	11757	1
3	11916	2
3	11985	2
3	12267	1
3	12335	1
3	12970	1
3	13073	3
3	13074	3
3	13078	1
3	13428	2
3	13516	2
3	13523	2
3	13817	1
3	13840	1
3	14077	1
3	14254	1
3	14590	1
3	14793	20
3	15756	5
3	16000	4
3	16001	5
3	16135	8
3	16142	1
3	16177	1
3	16215	1
3	16228	1
3	16231	1
3	16444	3
3	16895	1
3	17118	4
3	17126	3
3	17407	2
3	17495	1
3	17509	1
3	17634	1
3	17913	1
3	18067	1
3	18165	1
3	19986	1
3	20336	3
3	21083	1
3	22043	1
3	22134	8
3	22991	1
3	23061	2
3	23095	2
3	24019	1
3	24083	1
3	25112	2
3	25935	1
3	26318	2
3	26921	2
3	27115	3
3	28195	2
3	28878	1
3	33720	2
3	36326	2
3	37254	1
3	37879	1
3	39410	1
3	39916	1
3	40470	2
3	42257	1
3	43441	1
3	45354	2
3	48660	1
3	53444	1
3	54441	1
3	54742	1
3	55508	1
3	56374	1
3	60996	1
3	61064	1
3	61275	2
3	64077	1
3	64915	1
3	66644	2
3	68503	2
3	69243	1
3	72681	1
3	73925	1
3	79215	1
3	85612	2
3	87033	1
3	87503	1
3	89217	1
3	92037	3
3	96782	1
4	10980	1
4	11055	4
4	11064	4
4	11078	5
4	11125	1
4	11139	19
4	11422	3
4	11464	1
4	11506	1
4	11667	1
4	11683	2
4	11748	1
4	11917	1
4	11985	1
4	12771	1
4	13297	1
4	13523	2
4	13906	1
4	14793	9
4	15601	1
4	15756	10
4	16000	1
4	16176	1
4	16215	3
4	16229	1
4	17912	1
4	17913	1
4	19986	1
4	22134	1
4	23408	1
4	25268	2
4	25550	1
4	29073	1
4	36614	1
4	40754	1
4	41501	1
4	47417	1
4	50325	1
4	54741	1
4	56902	2
4	65455	1
4	67042	1
4	73739	1
4	78887	1
4	79107	2
4	89290	1
4	96227	2
5	11464	2
5	11748	1
5	12819	4
5	12824	1
5	15894	1
5	16794	1
5	17658	1
5	18738	1
5	34444	1
5	48506	12
5	53687	1
5	61024	1
5	84422	2
5	89491	1
5	91644	2
6	11055	2
6	11064	3
6	11078	2
6	11139	14
6	11162	1
6	11464	3
6	12234	1
6	12742	2
6	12824	2
6	13980	1
6	14956	1
6	16000	2
6	16133	1
6	16681	1
6	18450	1
6	18521	1
6	22951	1
6	35467	1
6	39875	1
6	55468	1
6	58679	1
6	60387	3
6	63263	1
6	67584	1
6	73520	1
6	84301	1
7	17415	1
7	29500	2
7	37082	2
7	48938	1
7	65686	3
7	82123	1
7	88969	1
8	16198	3
8	39870	2
8	56102	3
8	73638	1
8	83358	1
9	10980	1
9	11055	3
9	11064	1
9	11078	1
9	11125	1
9	11139	13
9	13906	2
9	14793	5
9	15756	26
9	16133	2
9	16142	1
9	16895	1
9	17118	2
9	21116	1
9	47417	1
9	50325	1
9	54741	1
9	57775	1
9	60996	1
9	71511	1
9	73520	1
9	78034	1
9	80599	2
10	22927	1
10	24325	1
10	32999	1
10	33291	1
10	43823	1
10	54271	1
10	62822	1
11	11055	1
11	11064	6
11	11139	3
11	11203	3
11	13351	1
11	16228	1
11	17779	1
11	19852	1
11	20356	1
11	22400	1
11	25211	1
11	35174	1
11	36619	1
11	54337	1
11	69330	1
11	80400	1
12	8990	1
12	24356	3
12	29930	1
12	33688	6
12	37037	1
12	39094	2
12	46560	1
12	46908	1
12	56005	1
12	59420	1
12	64108	1
13	11055	1
13	11139	2
13	12819	1
13	14592	3
13	15756	1
13	16228	1
13	17913	1
13	21460	2
13	59025	1
14	7983	1
14	10939	11
14	10980	1
14	11055	6
14	11064	8
14	11078	1
14	11091	2
14	11139	9
14	11163	7
14	11224	1
14	11443	2
14	11464	3
14	11564	1
14	11667	1
14	11683	1
14	11712	1
14	11757	1
14	12242	1
14	12789	1
14	12970	3
14	13060	1
14	13516	1
14	13523	3
14	13770	1
14	13902	1
14	14793	17
14	15168	1
14	15690	1
14	15848	2
14	16133	2
14	16135	1
14	16229	1
14	16701	2
14	16746	1
14	17118	1
14	19074	1
14	19221	1
14	19732	1
14	19998	1
14	22901	2
14	23061	1
14	24019	1
14	25112	1
14	26129	1
14	27115	1
14	27682	1
14	27833	1
14	28031	1
14	30269	1
14	30991	1
14	33378	1
14	33575	1
14	33613	2
14	34792	1
14	35246	1
14	40314	1
14	43201	1
14	52373	1
14	52646	5
14	53700	1
14	60120	1
14	61149	3
14	61796	1
14	64492	1
14	66680	1
14	79232	1
14	81534	1
14	83915	1
